,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
7556,7556,sly-2-band-of-thieves,88.0,8.9,0,0,1,1,0,0,0,0,Adventure,2004,0,0
7557,7557,sly-3-honor-among-thieves,83.0,8.8,0,0,1,1,0,0,0,0,Adventure,2005,0,0
7558,7558,sly-cooper-and-the-thievius-raccoonus,86.0,8.5,0,0,1,1,0,0,0,0,Adventure,2002,0,1
7560,7560,sly-cooper-thieves-in-time,75.0,7.9,0,0,0,1,0,0,0,0,Adventure,2013,0,0
7561,7561,small-arms,73.0,7.4,0,0,0,0,0,1,0,0,Arcade,2006,1,1
7562,7562,small-radios-big-televisions,67.0,4.6,1,0,0,0,1,0,0,0,Adventure,2016,0,1
7565,7565,smashbox-arena,54.0,5.2,1,1,0,0,0,0,0,0,Indie,2016,1,1
7566,7566,smash-cars,67.0,7.5,1,0,0,1,0,0,0,0,Racing,2009,0,1
7567,7567,smash-court-tennis-3,68.0,6.4,0,1,0,0,0,0,1,0,Sport,2007,1,1
7568,7568,smash-court-tennis-pro-tournament,73.0,7.4,0,0,1,0,0,0,0,0,Sport,2002,0,0
7569,7569,smash-court-tennis-pro-tournament-2,74.0,8.6,0,0,1,0,0,0,0,0,Sport,2004,0,0
7571,7571,smashing-drive,47.0,5.2,0,0,0,0,0,1,0,0,Racing,2000,0,1
7572,7572,smite,83.0,8.2,1,0,0,0,1,0,0,1,Real Time Strategy (RTS),2014,1,0
7573,7573,smoke-and-sacrifice,72.0,6.5,1,0,0,0,1,0,0,1,Adventure,2018,0,1
7575,7575,snake-pass,74.0,6.1,1,0,0,0,1,0,0,1,Adventure,2017,0,1
7576,7576,snapshot,74.0,7.2,1,0,0,0,0,0,0,0,Adventure,2012,0,1
7577,7577,sneakers,28.0,3.4,0,0,0,0,0,1,0,0,Adventure,2002,0,1
7578,7578,sneak-king,54.0,5.9,0,0,0,0,0,0,1,0,Adventure,2006,0,1
7579,7579,sniper-art-of-victory,36.0,3.3,1,0,0,0,0,0,0,0,Shooter,2008,0,1
7580,7580,sniper-elite,77.0,7.6,1,0,1,0,0,1,0,0,Shooter,2005,1,1
7581,7581,sniper-elite-4,81.0,7.3,1,0,0,0,1,0,0,1,Adventure,2017,1,1
7582,7582,sniper-elite-iii,71.0,6.9,1,0,0,1,1,0,1,1,Adventure,2014,1,1
7583,7583,sniper-elite-iii-ultimate-edition,74.0,6.8,0,0,0,1,1,0,1,1,Adventure,2015,1,1
7584,7584,sniper-elite-nazi-zombie-army,62.0,7.3,1,0,0,0,0,0,0,0,Shooter,2013,1,1
7585,7585,sniper-elite-nazi-zombie-army-2,53.0,6.8,1,0,0,0,0,0,0,0,Adventure,2013,1,1
7586,7586,sniper-elite-v2,70.0,6.8,1,0,0,1,0,0,1,0,Shooter,2012,1,1
7587,7587,sniper-elite-v2-remastered,73.0,5.9,1,0,0,0,1,0,0,1,Shooter,2019,1,1
7588,7588,sniper-ghost-warrior,55.0,5.4,1,0,0,1,0,0,1,0,Shooter,2010,1,1
